# minDate: 2014-01-22 (inferred from apk metadata) 
# maxDate: 2015-05-26 (inferred from apk metadata) 
Games > Widgets         |     Top Free | 1 | 2014-05-10 | /jacobs/APKs/co/com./com.play/com.playfree.penguinjump/2.91/com.playfree.penguinjump.apk                                                                 
Games > Widgets         |     Top Free | 2 | 2014-06-24 | /jacobs/APKs/es/es.s/es.socia/es.socialpoint.DragonCity/2.8.1/es.socialpoint.DragonCity.apk                                                              
Games > Widgets         |     Top Free | 2 | 2014-01-22 | /jacobs/APKs/co/com./com.com./com.com.uraa.euni/1.0/com.com.uraa.euni.apk                                                                                
Games > Word            |     Top Free | 1 | 2014-09-06 | /jacobs/APKs/de/de.l/de.lotum/de.lotum.whatsinthefoto.de/2.7/de.lotum.whatsinthefoto.de.apk                                                              
Games > Word            |     Top Free | 1 | 2014-08-12 | /jacobs/APKs/de/de.l/de.lochm/de.lochmann.stadtlandfluss/2.6/de.lochmann.stadtlandfluss.apk                                                              
Games > Word            |     Top Free | 2 | 2014-05-12 | /jacobs/APKs/ne/net./net.byte/net.byte_welt.eagleeye.wordsearch/1.3.4/net.byte_welt.eagleeye.wordsearch.apk                                              
Health & Fitness        |     Top Free | 1 | 2014-08-22 | /jacobs/APKs/co/com./com.cayn/com.caynax.a6w/8.1/com.caynax.a6w.apk                                                                                      
Health & Fitness        |     Top Free | 1 | 2014-08-19 | /jacobs/APKs/co/com./com.dsi./com.dsi.ant.plugins.antplus/3.1.0/com.dsi.ant.plugins.antplus.apk                                                          
Health & Fitness        |     Top Free | 1 | 2014-09-03 | /jacobs/APKs/co/com./com.runt/com.runtastic.android/5.2.1/com.runtastic.android.apk                                                                      
Libraries & Demo        |     Top Free | 1 | 2014-09-11 | /jacobs/APKs/ch/ch.t/ch.three/ch.threema.qrscannerplugin/1.1/ch.threema.qrscannerplugin.apk                                                              
Libraries & Demo        |     Top Free | 1 | 2014-01-24 | /jacobs/APKs/de/de.m/de.msg.q/de.msg.qdcheats/1.2.1/de.msg.qdcheats.apk                                                                                  
Libraries & Demo        |     Top Free | 2 | 2014-08-01 | /jacobs/APKs/co/com./com.avia/com.aviary.android.feather.plugins.borders.free/1.1/com.aviary.android.feather.plugins.borders.free.apk                    
Lifestyle               |     Top Free | 1 | 2014-08-19 | /jacobs/APKs/co/com./com.ebay/com.ebay.kleinanzeigen/5.0.3/com.ebay.kleinanzeigen.apk                                                                    
Lifestyle               |     Top Free | 1 | 2014-09-26 | /jacobs/APKs/co/com./com.tind/com.tinder/2.2.3/com.tinder.apk                                                                                            
Lifestyle               |     Top Free | 2 | 2014-09-15 | /jacobs/APKs/de/de.m/de.mcdon/de.mcdonalds.mcdonaldsinfoapp/1.4.0.1/de.mcdonalds.mcdonaldsinfoapp.apk                                                    
Live Wallpaper          |     Top Free | 1 | 2014-10-15 | /jacobs/APKs/co/com./com.pics/com.picsart.studio/4.6.12/com.picsart.studio.apk                                                                           
Live Wallpaper          |     Top Free | 2 | 2014-04-09 | /jacobs/APKs/us/us.p/us.porra/us.porrassoft.xray/6.0/us.porrassoft.xray.apk                                                                              
Live Wallpaper          |     Top Free | 2 | 2014-08-25 | /jacobs/APKs/co/com./com.jb.g/com.jb.gokeyboard/2.13/com.jb.gokeyboard.apk                                                                               
Media & Video           |     Top Free | 1 | 2014-02-18 | /jacobs/APKs/co/com./com.zatt/com.zattoo.player/1.4.3/com.zattoo.player.apk                                                                              
Media & Video           |     Top Free | 1 | 2014-05-20 | /jacobs/APKs/co/com./com.goog/com.google.android.youtube/5.6.36/com.google.android.youtube.apk                                                           
Media & Video           |     Top Free | 1 | 2014-09-06 | /jacobs/APKs/or/org./org.vide/org.videolan.vlc.betav7neon/0.9.9/org.videolan.vlc.betav7neon.apk                                                          
Medical                 |     Top Free | 1 | 2014-08-16 | /jacobs/APKs/co/com./com.bavi/com.baviux.pillreminder/2.1.2/com.baviux.pillreminder.apk                                                                  
Medical                 |     Top Free | 1 | 2014-11-01 | /jacobs/APKs/co/com./com.Anat/com.AnatomyLearning.Anatomy3DViewer3/1.0/com.AnatomyLearning.Anatomy3DViewer3.apk                                          
Medical                 |     Top Free | 1 | 2014-08-12 | /jacobs/APKs/de/de.p/de.pappe/de.pappermint.notfallsani/1.2.1/de.pappermint.notfallsani.apk                                                              
Music & Audio           |     Top Free | 1 | 2014-09-04 | /jacobs/APKs/co/com./com.spot/com.spotify.music/1.4.0.631/com.spotify.music.apk                                                                          
Music & Audio           |     Top Free | 1 | 2014-09-16 | /jacobs/APKs/co/com./com.shaz/com.shazam.android/4.9.1-14091210-c329e9a/com.shazam.android.apk                                                           
Music & Audio           |     Top Free | 1 | 2014-10-25 | /jacobs/APKs/de/deez/deezer.a/deezer.android.app/4.4.3.14/deezer.android.app.apk                                                                         
News & Magazines        |     Top Free | 1 | 2014-07-03 | /jacobs/APKs/co/com./com.ng.d/com.ng.dailynews/1.13/com.ng.dailynews.apk                                                                                 
News & Magazines        |     Top Free | 1 | 2014-08-26 | /jacobs/APKs/de/de.s/de.spieg/de.spiegel.android.app.spon/2.4.67/de.spiegel.android.app.spon.apk                                                         
News & Magazines        |     Top Free | 2 | 2014-08-18 | /jacobs/APKs/de/de.l/de.linea/de.lineas.lit.ntv.android/4.0.3/de.lineas.lit.ntv.android.apk                                                              
Personalization         |     Top Free | 1 | 2015-05-09 | /jacobs/APKs/ne/net./net.zedg/net.zedge.android/4.10.2/net.zedge.android.apk                                                                             
Personalization         |     Top Free | 1 | 2014-08-02 | /jacobs/APKs/co/com./com.what/com.whatsapp.wallpaper/2/com.whatsapp.wallpaper.apk                                                                        
Personalization         |     Top Free | 3 | 2014-09-06 | /jacobs/APKs/co/com./com.apus/com.apusapps.launcher/1.4.0/com.apusapps.launcher.apk                                                                      
Photography             |     Top Free | 1 | 2014-08-02 | /jacobs/APKs/co/com./com.alma/com.almalence.opencam/3.24/com.almalence.opencam.apk                                                                       
Photography             |     Top Free | 1 | 2014-10-15 | /jacobs/APKs/co/com./com.pics/com.picsart.studio/4.6.12/com.picsart.studio.apk                                                                           
Photography             |     Top Free | 1 | 2014-09-14 | /jacobs/APKs/co/com./com.wond/com.wondershare.powerselfie/1.0.2/com.wondershare.powerselfie.apk                                                          
Productivity            |     Top Free | 1 | 2014-08-30 | /jacobs/APKs/co/com./com.adob/com.adobe.reader/11.5.0.1/com.adobe.reader.apk                                                                             
Productivity            |     Top Free | 1 | 2014-10-08 | /jacobs/APKs/co/com./com.dian/com.dianxinos.dxbs/3.8.5/com.dianxinos.dxbs.apk                                                                            
Productivity            |     Top Free | 1 | 2014-10-24 | /jacobs/APKs/co/com./com.goog/com.google.android.keep/2.3.02/com.google.android.keep.apk                                                                 
Shopping                |     Top Free | 1 | 2014-11-20 | /jacobs/APKs/co/com./com.ebay/com.ebay.mobile/2.8.2.1/com.ebay.mobile.apk                                                                                
Shopping                |     Top Free | 1 | 2015-02-16 | /jacobs/APKs/co/com./com.shpo/com.shpock.android/2.4.5/com.shpock.android.apk                                                                            
Shopping                |     Top Free | 2 | 2014-08-02 | /jacobs/APKs/co/com./com.goog/com.google.zxing.client.android/4.7.0/com.google.zxing.client.android.apk                                                  
Social                  |     Top Free | 1 | 2015-03-06 | /jacobs/APKs/co/com./com.face/com.facebook.katana/28.0.0.20.16/com.facebook.katana.apk                                                                   
Social                  |     Top Free | 2 | 2015-03-06 | /jacobs/APKs/co/com./com.inst/com.instagram.android/6.16.1/com.instagram.android.apk                                                                     
