# minDate: 2014-01-22 (inferred from apk metadata) 
# maxDate: 2015-05-26 (inferred from apk metadata) 
Games > Cards & Casino  |     Top Free | 1 | 2014-01-27 | /jacobs/APKs/co/com./com.game/com.gameloft.android.ANMP.GloftUOHM/1.5.1/com.gameloft.android.ANMP.GloftUOHM.apk                                                                                                                                                                
Games > Cards & Casino  |     Top Free | 1 | 2014-03-10 | /jacobs/APKs/co/com./com.vass/com.vass.bookofra/1.0/com.vass.bookofra.apk                                                                                                                                                                                                      
Games > Cards & Casino  |     Top Free | 2 | 2014-02-25 | /jacobs/APKs/co/com./com.kaka/com.kakapo.freeslots/1.05/com.kakapo.freeslots.apk                                                                                                                                                                                               
Games > Casino          |     Top Free | 1 | 2015-04-19 | /jacobs/APKs/co/com./com.funs/com.funstage.gta.ma.bookofradeluxe/2.2.2/com.funstage.gta.ma.bookofradeluxe.apk                                                                                                                                                                  
Games > Casino          |     Top Free | 1 | 2014-04-10 | /jacobs/APKs/co/com./com.igg./com.igg.bzbee.bingobyigg/1.3.1/com.igg.bzbee.bingobyigg.apk                                                                                                                                                                                      
Games > Casino          |     Top Free | 1 | 2014-08-29 | /jacobs/APKs/co/com./com.five/com.fivestargames.slots/1.09/com.fivestargames.slots.apk                                                                                                                                                                                         
Games > Casino          |     Top Free | 1 | 2014-03-31 | /jacobs/APKs/co/com./com.vass/com.vass.bookofra/1.1/com.vass.bookofra.apk                                                                                                                                                                                                      
Games > Casino          |     Top Free | 2 | 2014-06-04 | /jacobs/APKs/co/com./com.igg./com.igg.pokerdeluxe/1.4.3/com.igg.pokerdeluxe.apk                                                                                                                                                                                                
Games > Casual          |     Top Free | 1 | 2014-10-11 | /jacobs/APKs/co/com./com.king/com.king.candycrushsaga/1.39.4/com.king.candycrushsaga.apk                                                                                                                                                                                       
Games > Casual          |     Top Free | 2 | 2014-10-25 | /jacobs/APKs/co/com./com.kudr/com.kudre.tangram/2.6.12/com.kudre.tangram.apk                                                                                                                                                                                                   
Games > Casual          |     Top Free | 2 | 2014-08-02 | /jacobs/APKs/co/com./com.crim/com.crimsonpine.stayinline/1.21/com.crimsonpine.stayinline.apk                                                                                                                                                                                   
Games > Casual          |     Top Free | 2 | 2014-05-21 | /jacobs/APKs/vn/vn.c/vn.chick/vn.chicken.hunt.banga/1.1.3/vn.chicken.hunt.banga.apk                                                                                                                                                                                            
Games > Casual          |     Top Free | 3 | 2014-10-02 | /jacobs/APKs/me/me.p/me.pou.a/me.pou.app/1.4.57/me.pou.app.apk                                                                                                                                                                                                                 
Games > Educational     |     Top Free | 1 | 2014-08-11 | /jacobs/APKs/co/com./com.lego/com.lego.bricksmore/2.0.2/com.lego.bricksmore.apk                                                                                                                                                                                                
