# minDate: 2014-01-22 (inferred from apk metadata) 
# maxDate: 2015-05-26 (inferred from apk metadata) 
Entertainment           |     Top Free |  3 | 2014-08-31 | /jacobs/APKs/co/com./com.view/com.viewster.androidapp/4.0.9/com.viewster.androidapp.apk                                                                                                                                                                                        
Entertainment           |     Top Free |  3 | 2014-02-03 | /jacobs/APKs/co/com./com.covw/com.covworks.uface/1.1.6/com.covworks.uface.apk                                                                                                                                                                                                  
Entertainment           |     Top Free |  3 | 2014-09-16 | /jacobs/APKs/de/de.p/de.prosi/de.prosiebensat1digital.wdik/1.0/de.prosiebensat1digital.wdik.apk                                                                                                                                                                                
Entertainment           |     Top Free |  3 | 2014-08-02 | /jacobs/APKs/de/de.t/de.tvspi/de.tvspielfilm/3.1.1/de.tvspielfilm.apk                                                                                                                                                                                                          
Entertainment           |     Top Free |  4 | 2014-04-09 | /jacobs/APKs/us/us.p/us.porra/us.porrassoft.xray/6.0/us.porrassoft.xray.apk                                                                                                                                                                                                    
Entertainment           |     Top Free |  4 | 2014-04-17 | /jacobs/APKs/ne/net./net.audi/net.audiko2/2.5.23/net.audiko2.apk                                                                                                                                                                                                               
Entertainment           |     Top Free |  4 | 2014-04-24 | /jacobs/APKs/co/com./com.dni./com.dni.vod.dmax.de/1.0.0/com.dni.vod.dmax.de.apk                                                                                                                                                                                                
Entertainment           |     Top Free |  4 | 2014-08-02 | /jacobs/APKs/co/com./com.disn/com.disney.dedisneychannel_goo/1.0.1/com.disney.dedisneychannel_goo.apk                                                                                                                                                                          
Entertainment           |     Top Free |  4 | 2014-09-22 | /jacobs/APKs/co/com./com.zent/com.zentertain.photocollage2/1.4/com.zentertain.photocollage2.apk                                                                                                                                                                                
Entertainment           |     Top Free |  5 | 2014-09-11 | /jacobs/APKs/co/com./com.outf/com.outfit7.talkingben/3.0/com.outfit7.talkingben.apk                                                                                                                                                                                            
Entertainment           |     Top Free |  5 | 2014-04-04 | /jacobs/APKs/co/com./com.lott/com.lottoland.app/1.0.4/com.lottoland.app.apk                                                                                                                                                                                                    
Finance                 |     Top Free |  1 | 2015-03-10 | /jacobs/APKs/co/com./com.payp/com.paypal.android.p2pmobile/5.11.3/com.paypal.android.p2pmobile.apk                                                                                                                                                                             
Finance                 |     Top Free |  1 | 2015-05-06 | /jacobs/APKs/co/com./com.star/com.starfinanz.smob.android.sfinanzstatus/2.6.2/com.starfinanz.smob.android.sfinanzstatus.apk                                                                                                                                                    
Finance                 |     Top Free |  2 | 2014-04-17 | /jacobs/APKs/ru/ru.t/ru.tubin/ru.tubin.bp/1.43/ru.tubin.bp.apk                                                                                                                                                                                                                 
Finance                 |     Top Free |  3 | 2014-08-19 | /jacobs/APKs/co/com./com.hute/com.huteri.monas/1.2.7.230/com.huteri.monas.apk                                                                                                                                                                                                  
Finance                 |     Top Free |  3 | 2014-05-27 | /jacobs/APKs/co/com./com.post/com.postbank.postbank/3.3.2/com.postbank.postbank.apk                                                                                                                                                                                            
Finance                 |     Top Free |  3 | 2014-02-01 | /jacobs/APKs/co/com./com.clee/com.cleevio.spendee/1.1.0/com.cleevio.spendee.apk                                                                                                                                                                                                
Finance                 |     Top Free |  3 | 2015-03-28 | /jacobs/APKs/de/de.f/de.fiduc/de.fiducia.smartphone.android.banking.vr/2.26/de.fiducia.smartphone.android.banking.vr.apk                                                                                                                                                       
Finance                 |     Top Free |  4 | 2015-04-23 | /jacobs/APKs/fo/fore/forex.fi/forex.financialnews.trading/1.6/forex.financialnews.trading.apk                                                                                                                                                                                  
Finance                 |     Top Free |  4 | 2014-12-28 | /jacobs/APKs/de/de.p/de.postb/de.postbank.finanzassistent/2.0.2/de.postbank.finanzassistent.apk                                                                                                                                                                                
Finance                 |     Top Free |  5 | 2015-04-19 | /jacobs/APKs/co/com./com.easy/com.easy.currency.extra.androary/2.1.2/com.easy.currency.extra.androary.apk                                                                                                                                                                      
Finance                 |     Top Free |  6 | 2014-05-01 | /jacobs/APKs/co/com./com.cash/com.cashcloud.cashcloud/1.6.131/com.cashcloud.cashcloud.apk                                                                                                                                                                                      
Finance                 |     Top Free |  6 | 2015-04-04 | /jacobs/APKs/co/com./com.db.m/com.db.mm.deutschebank/2.1/com.db.mm.deutschebank.apk                                                                                                                                                                                            
Finance                 |     Top Free |  6 | 2015-04-19 | /jacobs/APKs/co/com./com.star/com.starfinanz.mobile.android.pushtan/1.0.3/com.starfinanz.mobile.android.pushtan.apk                                                                                                                                                            
Finance                 |     Top Free |  6 | 2014-09-22 | /jacobs/APKs/at/at.m/at.marku/at.markushi.expensemanager/2.2.3/at.markushi.expensemanager.apk                                                                                                                                                                                  
Finance                 |     Top Free |  6 | 2014-09-06 | /jacobs/APKs/de/de.c/de.comme/de.commerzbanking.mobil/2.3/de.commerzbanking.mobil.apk                                                                                                                                                                                          
Finance                 |     Top Free |  6 | 2014-12-28 | /jacobs/APKs/de/de.f/de.finan/de.finanzen100.currencyconverter/1.5/de.finanzen100.currencyconverter.apk                                                                                                                                                                        
